hazard_id,location_name,district,highway,latitude,longitude,closest_ml_city,closest_ml_zone_id,distance_to_closest_zone_km,covered_by_ml_zone_5km,covered_by_ml_zone_15km,recommendation
MH-BS-051,Armori Forest Section / Wainganga Basin Curve,Gadchiroli,NH-353C,20.452,79.985,Hyderabad,243,354.77,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-052,Khambatki Ghat S-Bend / Tunnel Approach,Satara,NH-48,18.012,74.024,Pune,353,45.94,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-053,Bhuinj Phata / Pachwad Junction,Satara,NH-48,17.882,74.015,Pune,353,60.12,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-054,Peth Naka / Islampur Junction (Sangli/Kolhapur),Sangli,NH-48,17.054,74.241,Pune,353,154.9,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-055,Shiroli MIDC / Tawde Hotel Chowk (Kolhapur),Kolhapur,NH-48,16.745,74.278,Pune,353,189.38,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-056,Kagal Border Checkpost / MIDC Junction,Kolhapur,NH-48,16.578,74.318,Pune,353,208.41,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-057,Tembhurni Junction / Kurduvadi Phata,Solapur,NH-65,18.065,75.185,Pune,348,132.81,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-058,Mohol Bypass / Pandharpur Road Junction,Solapur,NH-65,17.812,75.648,Pune,348,188.55,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-059,Solapur Outer Ring Road / Degaon Naka,Solapur,NH-52 / NH-65,17.689,75.874,Pune,348,215.9,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-060,Kashedi Ghat S-Curves / Tunnel Approach (Poladpur/Khed),Ratnagiri,NH-66,17.915,73.452,Pune,340,62.44,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-061,Sangameshwar S-Turn / Shastri River Bridge Approach,Ratnagiri,NH-66,17.185,73.548,Pune,340,137.86,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-062,Zarap Bypass / Kudal Junction (Sindhudurg),Sindhudurg,NH-66,15.985,73.712,Pune,346,269.89,False,False,OFFICIAL_GOVERNMENT_ONLY
MH-BS-063,Sawantwadi Bypass / Insuli Checkpost,Sindhudurg,NH-66,15.892,73.824,Pune,346,280.03,False,False,OFFICIAL_GOVERNMENT_ONLY
