hazard_id,blackspot_id,source_authority,source_document,source_url,publication_year,state,district,highway_number,road_name,location_name,latitude,longitude,chainage_km,hazard_type,severity,fatal_crashes,fatalities,crash_count,primary_factors,countermeasures,confidence,provenance
MH-BS-011,MH-TH-02,Thane City Traffic Police & PWD,Thane Police Traffic Safety Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Thane,SH-42,Ghodbunder Road,Gaimukh Ghat / Ghodbunder Road,19.289,72.934,KM 14.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,15,19,27,Heavy multi-axle chemical and freight traffic on sharp blind curve with steep rockface embankment.,"Road widening to 6 lanes, heavy vehicle lane segregation, concrete barrier wall installation.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-012,MH-TH-07,NHAI & Maharashtra Highway Police,NHAI National Highway Safety Assessment 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Thane,NH-160,Mumbai–Nashik Highway,Kasara Ghat / Thal Ghat (Thane–Nashik Border),19.678,73.491,KM 122.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,19,25,38,Treacherous mountain hairpin bends with thick fog during winter/monsoon causing roll-overs and head-on collisions.,"High-reflectivity fog lights, anti-skid surface treatment, audible rumble warnings.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-013,MH-PL-03,MoRTH & Palghar District Police,MoRTH Priority Highway Audit 2024,https://morth.nic.in,2024,Maharashtra,Palghar,NH-48,Mumbai–Ahmedabad Highway,Charoti Naka / Kasa Curve (Palghar),19.864,72.887,KM 412.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,21,29,41,Sudden 3-lane to 2-lane bridge carriageway narrowing over Surya River with high-speed car traffic.,"Lane alignment rectification, bridge widening, 3D chevron warning signboards.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-014,MH-PL-08,Maharashtra Highway Traffic Police,Palghar Highway Police Blackspot Compendium 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Palghar,NH-48,Mumbai–Ahmedabad Highway,Manor Junction / Mastan Naka,19.742,72.915,KM 388.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,12,16,22,Heavy local passenger autorickshaws and buses cutting across 6-lane national freight expressway.,Grade-separated vehicular underpass and service lane construction.,HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-015,MH-AH-04,MoRTH & Ahmednagar Police,MoRTH State Blackspot Compilation 2023,https://morth.nic.in,2023,Maharashtra,Ahmednagar,NH-753F,Pune–Ahmednagar Highway,Supa Industrial Area / Parner Phata,18.995,74.528,KM 88.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,11,15,19,High-speed industrial freight merging during worker shift changes without deceleration lanes.,"Service road construction, high-mast illumination, dedicated left-turn deceleration lanes.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-016,MH-AH-09,Maharashtra Highway Traffic Police,Maharashtra Highway Police Annual Report 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Ahmednagar,NH-753F,Ahmednagar Ring Road,Kedgaon Bypass / Daund Road Junction,19.076,74.722,KM 112.5,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,8,10,14,Unsignalized circular junction with mixed agricultural and multi-axle freight traffic.,"Roundabout geometric enhancement, speed table construction, traffic signalization.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-017,MH-AH-22,Maharashtra Highway Traffic Police,Ahmednagar District Road Safety Cell 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Ahmednagar,SH-27,Ahmednagar–Chhatrapati Sambhaji Nagar Highway,Nevasa Phata / Ghogargaon,19.531,74.912,KM 162.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,7,9,12,Narrow culvert crossing with severe pavement drop-offs causing head-on overtaking collisions.,"Culvert widening, center-line thermoplastic rumble strips, retroreflective road studs.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-018,MH-AH-31,Maharashtra Highway Traffic Police,Ahmednagar Highway Safety Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Ahmednagar,NH-160,Manmad–Ahmednagar Highway,Shirdi Bypass / Kolhar Phata,19.684,74.451,KM 78.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,10,14,21,Pilgrim tourist buses and pedestrian devotees crossing unsignalized 4-lane bypass during early morning hours.,"Solar blinkers, pedestrian pelican crossing signals, overhead gantry warning signs.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-019,MH-NK-04,Nashik Rural Police & MoRTH,Nashik District Road Safety Compendium 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Nashik,NH-60,Pune–Nashik Highway,Sinnar Bypass / Musalgaon MIDC,19.865,74.012,KM 178.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,12,16,24,Heavy industrial truck traffic joining highway at acute angles with high-speed transit flow.,"Installation of channelizer islands, dedicated turning slip lanes, solar flashing beacons.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-020,MH-NK-09,Nashik City Traffic Police,Nashik City Police Blackspot Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Nashik,NH-160 / NH-848,Mumbai Naka Flyover Approach,Dwarka Circle / Mumbai Naka Flyover Approach,19.988,73.801,KM 198.5,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,16,20,32,High-volume 6-arm rotary junction with severe weaving conflicts between highway freight and urban flow.,"Flyover lane expansion, automated pedestrian crossing signals, heavy vehicle bypass routing.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-021,MH-NK-15,NHAI & Maharashtra Highway Police,MoRTH National Highway Audit 2023,https://morth.nic.in,2023,Maharashtra,Nashik,NH-53 / NH-3,Mumbai–Agra Highway,Chandwad Ghat / Rahud S-Curve,20.315,74.248,KM 262.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,14,19,28,Continuous downward slope into blind S-curve causing heavy container truck overturning.,"Concrete median barrier, friction-improving asphalt, speed monitoring radar.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-022,MH-DH-02,Dhule Rural Police & NHAI,Dhule District Highway Safety Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Dhule,NH-53 / NH-52,Dhule Bypass / Avhan Phata,Dhule Bypass / Avhan Phata Crossroads,20.892,74.774,KM 312.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,13,17,24,Major 4-lane intersection connecting Surat–Kolkata (NH-53) and Indore–Solapur (NH-52) with high freight crossing speeds.,"Cloverleaf flyover construction, high-mast illumination, rumble strip arrays.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-023,MH-DH-07,MoRTH TRW,MoRTH National Highway Blackspot Registry 2023,https://morth.nic.in,2023,Maharashtra,Dhule,NH-53,Surat–Dhule Highway,Laling Ghat S-Curves / Forest Section,20.812,74.731,KM 298.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,10,14,18,Steep ghat section with sharp rock cuts and unpaved emergency shoulders.,"W-beam crash barriers, cat-eye reflectors, roadside rock bolting.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-024,MH-JG-03,Jalgaon District Police & PWD,Jalgaon District Road Safety Committee 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Jalgaon,NH-53,Jalgaon–Bhusawal Highway,Bhusawal Yaval Phata / Ordnance Factory Gate,21.045,75.789,KM 388.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,12,16,22,Heavy intercity railway parcel trucks merging onto 4-lane highway corridor during worker shift hours.,"Traffic signalization, pedestrian underpass, high-visibility LED street lighting.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-025,MH-JG-08,Maharashtra Highway Traffic Police,Jalgaon Highway Safety Report 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Jalgaon,NH-53,Dhule–Jalgaon Section,Paldhi Phata / Erandol Bypass,20.925,75.385,KM 348.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,8,11,15,Narrow bridge approach across Anjani river with lack of reflective warning markers.,"Bridge widening, chevron warning signs, solar warning blinkers.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-026,MH-ND-01,Nandurbar District Police & MoRTH,Nandurbar Road Safety Cell 2024,https://morth.nic.in,2024,Maharashtra,Nandurbar,NH-753B,Shahada–Nandurbar State Corridor,Shahada Phata / Prakasha Bridge Approach,21.542,74.452,KM 42.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,7,9,13,Heavy agricultural tractor and timber haulage vehicles operating on unlit 2-lane road with severe shoulder drop-offs.,"Shoulder paving, centerline thermoplastic rumble strips, reflective delineators.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-027,MH-CS-06,Chhatrapati Sambhaji Nagar Rural Police & MoRTH,MoRTH National Highway Blackspot Registry 2023,https://morth.nic.in,2023,Maharashtra,Chhatrapati Sambhajinagar,NH-52,Dhule–Solapur Highway,Waluj MIDC / Oasis Chowk,19.832,75.241,KM 208.3,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,16,21,28,High-density industrial worker pedestrian crossing across 4-lane freight arterial without grade separation.,"Pedestrian foot overbridge (FOB), crash barrier fencing, automated speed camera.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-028,MH-CS-12,Maharashtra Highway Traffic Police,Marathwada Highway Safety Cell 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Chhatrapati Sambhajinagar,NH-753F,Jalna Road / AURIC Corridor,Shendra MIDC / Cambridge Chowk,19.882,75.452,KM 232.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,11,15,19,Fast vehicle exit from expressway interchange directly into mixed local commercial traffic.,"Traffic rotary modernization, high-visibility LED street lighting, pedestrian crossing tables.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-029,MH-JL-03,Jalna District Police,Jalna Police Blackspot Report 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Jalna,NH-753F,Jalna–Deulgaon Raja Road,Jalna Industrial Bypass / Devalgaon Raja Phata,19.865,75.908,KM 265.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,10,13,17,Heavy steel haulage truck movement with shoulder erosion causing rollover accidents.,"Channelized turning islands, shoulder regravelling and paving, road widening.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-030,MH-BD-04,Beed District Police & MoRTH,Beed Road Safety Committee Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Beed,NH-52,Solapur–Dhule Highway,Georai Bypass / Gevrai Phata,19.264,75.752,KM 172.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,11,15,21,High-speed overtaking on 4-lane bypass with agricultural carts entering through unregulated median cuts.,"Median fence closure, solar warning blinkers, vehicular underpass (VUP).",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-031,MH-LT-02,Latur District Police & NHAI,Latur District Highway Blackspot Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Latur,NH-361,Latur–Nanded Highway,Ausa Ring Road / MIDC Phata (Latur),18.254,76.512,KM 94.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,12,16,23,High volume of soybean and pulse freight trucks joining ring road on blind curve with high commuter volume.,"Geometric junction correction, high-mast illumination, rumble strips.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-032,MH-DH-04,Dharashiv Police & MoRTH,Dharashiv Road Safety Audit 2024,https://morth.nic.in,2024,Maharashtra,Dharashiv,NH-52 / NH-65,Solapur–Tuljapur–Aurangabad Highway,Tuljapur Ghat / Temple Bypass,18.012,76.082,KM 45.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,14,19,27,Steep pilgrimage bus descent with heavy tourist footfall across active highway carriageway.,"Pedestrian subway construction, crash barrier upgrade, mandatory low-gear signboards.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-033,MH-ND-03,Nanded Rural Police & MoRTH,Nanded District Road Safety Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Nanded,NH-161,Nanded–Degloor–Hyderabad Corridor,Vishnupuri / Swami Ramanand Teerth University Phata,19.115,77.291,KM 8.5,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,13,18,25,University student two-wheeler crossing across high-speed interstate highway freight corridor.,"Traffic signalization with pedestrian crossing phase, LED overhead blinkers, speed calming.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-034,MH-PR-02,Parbhani District Police,Parbhani Highway Safety Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Parbhani,NH-61,Kalyan–Nirmal Highway,Jintur Road / Gangakhed Phata,19.278,76.782,KM 512.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,9,12,16,Uncontrolled rural crossing with cotton and grain carts joining highway without merging visibility.,"Junction widening, road markings, solar caution blinkers.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-035,MH-HG-01,Hingoli District Police,Hingoli Road Safety Cell 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Hingoli,NH-161,Washim–Hingoli–Nanded Corridor,Kalamnuri Bypass / Aundha Nagnath Phata,19.665,77.085,KM 78.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,8,10,14,Pilgrim tourist vehicles merging abruptly into commercial freight transit during early morning fog.,"Chevron warning signage, rumble strips, retroreflective road studs.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-036,MH-BD-02,MSRDC & Highway Police,MSRDC Samruddhi Mahamarg Safety Audit 2024,https://msrdc.in,2024,Maharashtra,Buldhana,Samruddhi Mahamarg,Hindu Hrudaysamrat Balasaheb Thackeray Expressway,Sindkhed Raja Interchange (Samruddhi Mahamarg KM 370),20.002,76.134,KM 370.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,8,11,14,"High-speed deceleration conflict, driver highway hypnosis, tyre burst hazard during hot weather.","Transverse rumble strips across carriageway, dynamic speed feedback signs, tyre check stations.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-037,MH-BD-07,Maharashtra Highway Traffic Police,Maharashtra Highway Police Compendium 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Buldhana,NH-753C,Mehkar–Chikhli Section,Mehkar / Dongaon Phata Crossing,20.158,76.572,KM 422.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,12,17,23,Abrupt lane width transitions on blind bridge approach and lack of illuminated hazard markers.,"Hazard marker signs on bridge railings, solar warning blinkers, reflective delineator posts.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-038,MH-AK-02,Akola Rural Police & MoRTH,Akola District Road Safety Review 2024,https://morth.nic.in,2024,Maharashtra,Akola,NH-53,Khamgaon–Akola Highway,Balapur Bypass / Nimba Phata,20.665,76.782,KM 462.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,11,15,20,Heavy multi-axle freight traffic on acute angle curve with oil mill container movement.,"Curve superelevation improvement, high-mast illumination, rumble strips.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-039,MH-WS-01,Washim District Police & MSRDC,Washim District Road Safety Review 2024,https://msrdc.in,2024,Maharashtra,Washim,Samruddhi Mahamarg,Hindu Hrudaysamrat Balasaheb Thackeray Expressway,Karanja Lad Interchange (Samruddhi Mahamarg KM 220),20.478,77.491,KM 220.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,9,14,18,Late-night fatigue driving (02:00–04:00) and rear-end collisions with slow moving or stationary heavy vehicles.,"Anti-fatigue audio-visual rumble strips, automated speed cameras, mandatory breakdown shoulder bays.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-040,MH-AM-03,Amravati City Police,Amravati Road Safety Committee Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Amravati,NH-53,Badnera–Amravati Ring Road,Badnera / Amravati Outer Ring Road Junction,20.865,77.728,KM 568.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,13,18,22,Intercity high-speed freight merging into local university and college student two-wheeler traffic.,"Modern rotary with pedestrian refuge islands, high-mast illumination.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-041,MH-AM-08,MoRTH & Maharashtra Highway Police,MoRTH National Highway Blackspot Registry 2023,https://morth.nic.in,2023,Maharashtra,Amravati,NH-53,Amravati–Nagpur Highway,Nandgaon Peth MIDC / Morshi Phata,21.034,77.839,KM 592.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,11,15,20,"Industrial logistics trucks entering highway without merging lanes, high crash rates during fog.","Merging acceleration lanes, solar blinkers, speed display boards.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-042,MH-YV-02,Yavatmal District Police & NHAI,Yavatmal Road Safety Audit 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Yavatmal,NH-361,Nanded–Yavatmal–Wardha Highway,Darwha Bypass / Bori Phata,20.315,77.772,KM 148.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,9,13,17,Acute reverse curves with heavy cotton-haulage freight vehicles on two-lane undivided highway.,"W-beam crash barriers, reflective chevron signs, road widening.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-043,MH-WR-02,Wardha District Police,Wardha Police Blackspot Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Wardha,NH-53 / NH-361,Amravati–Nagpur Corridor,Talegaon Shyamji Pant / Karanja Road,20.952,78.431,KM 635.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,9,12,16,Heavy sugarcane tractor trolley movement during harvest season without rear retroreflectors.,"Reflective sticker enforcement, dedicated agricultural vehicle service track.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-044,MH-NG-04,Nagpur Rural Police & MoRTH,MoRTH Priority Highway Audit 2023,https://morth.nic.in,2023,Maharashtra,Nagpur,NH-44 / NH-53,Nagpur Outer Ring Road,Butibori MIDC / Outer Ring Road Junction,20.925,78.995,KM 682.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,18,24,32,Major logistics intersection with high-speed freight merging into industrial commuter traffic.,"Cloverleaf interchange improvement, 24x7 automated speed enforcement, service road widening.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-045,MH-NG-08,NHAI & Nagpur Rural Police,Nagpur Rural Highway Safety Review 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Nagpur,NH-44,Nagpur–Hyderabad Highway,Borkhedi Toll Plaza / Umred Road Crossing,20.884,79.012,KM 698.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,11,16,22,High approach speeds at toll queue taper with unlit agricultural tractor crossings.,"High-mast LED solar illumination, transverse optical bar markings 500m before toll plaza.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
MH-BS-046,MH-NG-12,Nagpur City Police,Nagpur City Police Traffic Analysis 2024,https://highwaypolice.maharashtra.gov.in,2024,Maharashtra,Nagpur,NH-53,Amravati–Nagpur Highway,Wadi Octroi Naka / Amravati Road Entrance,21.148,79.002,KM 704.0,OFFICIAL_BLACKSPOT,OFFICIAL_HIGH_SEVERITY,14,17,25,Abrupt transition from 4-lane highway into congested urban market arterial with intercity bus stopping.,"Dedicated truck lay-by bays, dynamic variable message signs with speed limit warnings.",HIGH_VERIFIED_GOVERNMENT_RECORD,OFFICIAL_STATE_AUDIT
