rank,city,zone_id,latitude,longitude,cluster_radius_km,target_month,target_start_date,time_window,is_peak_window,predicted_risk_tier,predicted_high_probability,actual_risk_tier,top_shap_factors,factor_contributions,retrieved_guidance,source_organization,source_title,source_url,retrieval_score,all_retrieved_chunks,retrieval_query
12,Hyderabad,223,17.40203,78.29139,8.625,2025-04,2025-04-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.8225,LOW,High cumulative historical crash density (+0.469) | Persistent accident history in prior 180 days (+0.449) | Cluster spatial footprint size (+0.251) | Historically elevated severity index during this specific time shift (+0.149),lag_expanding_accidents=0.469; lag_accidents_180d=0.449; max_r_km=0.251; lag_zw_expanding_swri=0.149,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8448,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, MORTH-ATTR-003",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
13,Hyderabad,223,17.40203,78.29139,8.625,2025-03,2025-03-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.821,MEDIUM,High cumulative historical crash density (+0.478) | Persistent accident history in prior 180 days (+0.445) | Cluster spatial footprint size (+0.231) | Historically elevated severity index during this specific time shift (+0.139),lag_expanding_accidents=0.478; lag_accidents_180d=0.445; max_r_km=0.231; lag_zw_expanding_swri=0.139,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8448,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, MORTH-ATTR-003",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
14,Chandigarh,97,30.61774,76.77995,4.127,2025-02,2025-02-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8193,LOW,Historically elevated severity index during this specific time shift (+0.562) | Persistent accident history in prior 180 days (+0.444) | High cumulative historical crash density (+0.318) | Cluster spatial footprint size (+0.190),lag_zw_expanding_swri=0.562; lag_accidents_180d=0.444; lag_expanding_accidents=0.318; max_r_km=0.190,Night-time and Poor-Visibility Road Safety Risk,World Health Organization,Night-time and Poor-Visibility Road Safety Risk,https://www.who.int/news-room/fact-sheets/detail/road-traffic-injuries,0.8254,"WHO-GLB-RTI-03, WHO-IND-001-02, IRAD-001",high severity crash history specific location time window road safety engineering treatment India night time peak hour. sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Chandigarh planned city road safety
15,Chennai,138,13.14963,80.13139,4.294,2025-04,2025-04-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8186,LOW,Historically elevated severity index during this specific time shift (+0.590) | Persistent accident history in prior 180 days (+0.404) | Cluster spatial footprint size (+0.180) | Elevated accident volume in prior 90 days (+0.077),lag_zw_expanding_swri=0.590; lag_accidents_180d=0.404; max_r_km=0.180; lag_accidents_90d=0.077,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8135,"WHO-IND-001-02, WHO-GLB-RTI-03, MORTH-ATTR-003",high severity crash history specific location time window road safety engineering treatment India night time peak hour. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. night time road safety darkness driving India. Chennai urban road safety
16,Hyderabad,248,17.46615,78.48164,6.679,2025-04,2025-04-01,20:00 - 23:59 (Night),False,HIGH,0.8131,LOW,Persistent accident history in prior 180 days (+0.383) | Cluster spatial footprint size (+0.186) | Accelerating short-term crash trend (+0.158) | High cumulative historical crash density (+0.133),lag_accidents_180d=0.383; max_r_km=0.186; lag_trend_90d_vs_180d=0.158; lag_expanding_accidents=0.133,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8545,"WHO-IND-001-02, WHO-IND-RS-WEB-001, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. increasing trend road accidents emerging risk escalation India response. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
17,Bangalore,51,13.12692,77.58163,7.849,2025-02,2025-02-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8125,MEDIUM,Persistent accident history in prior 180 days (+0.448) | Historically elevated severity index during this specific time shift (+0.403) | High cumulative historical crash density (+0.301) | Cluster spatial footprint size (+0.229),lag_accidents_180d=0.448; lag_zw_expanding_swri=0.403; lag_expanding_accidents=0.301; max_r_km=0.229,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8316,"WHO-IND-001-02, WHO-GLB-RTI-03, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Bangalore urban traffic management road safety
18,Bangalore,51,13.12692,77.58163,7.849,2025-02,2025-02-01,00:00 - 03:59 (Late Night),False,HIGH,0.8124,HIGH,Persistent accident history in prior 180 days (+0.448) | High cumulative historical crash density (+0.413) | Cluster spatial footprint size (+0.229) | Historically elevated severity index during this specific time shift (+0.096),lag_accidents_180d=0.448; lag_expanding_accidents=0.413; max_r_km=0.229; lag_zw_expanding_swri=0.096,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8333,"WHO-IND-001-02, WHO-IND-RS-WEB-001, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Bangalore urban traffic management road safety
19,Pune,363,18.49661,73.88325,7.781,2025-03,2025-03-01,12:00 - 15:59 (Afternoon),False,HIGH,0.8112,MEDIUM,Persistent accident history in prior 180 days (+0.450) | Historically elevated severity index during this specific time shift (+0.422) | High cumulative historical crash density (+0.306) | Cluster spatial footprint size (+0.221),lag_accidents_180d=0.450; lag_zw_expanding_swri=0.422; lag_expanding_accidents=0.306; max_r_km=0.221,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8517,"WHO-IND-001-02, WHO-IND-RS-WEB-001, MORTH-ATTR-003",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. Maharashtra urban arterial road safety
20,Hyderabad,223,17.40203,78.29139,8.625,2025-04,2025-04-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8075,LOW,Persistent accident history in prior 180 days (+0.442) | High cumulative historical crash density (+0.415) | Cluster spatial footprint size (+0.249) | Historically elevated severity index during this specific time shift (+0.100),lag_accidents_180d=0.442; lag_expanding_accidents=0.415; max_r_km=0.249; lag_zw_expanding_swri=0.100,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8281,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
21,Chennai,138,13.14963,80.13139,4.294,2025-01,2025-01-01,04:00 - 07:59 (Early Morning),False,HIGH,0.8051,HIGH,Persistent accident history in prior 180 days (+0.445) | Historically elevated severity index during this specific time shift (+0.259) | Cluster spatial footprint size (+0.197) | High cumulative historical crash density (+0.166),lag_accidents_180d=0.445; lag_zw_expanding_swri=0.259; max_r_km=0.197; lag_expanding_accidents=0.166,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8268,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. night time road safety darkness driving India. Chennai urban road safety
22,Pune,363,18.49661,73.88325,7.781,2025-03,2025-03-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.8036,MEDIUM,Persistent accident history in prior 180 days (+0.450) | Historically elevated severity index during this specific time shift (+0.421) | High cumulative historical crash density (+0.305) | Cluster spatial footprint size (+0.220),lag_accidents_180d=0.450; lag_zw_expanding_swri=0.421; lag_expanding_accidents=0.305; max_r_km=0.220,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8456,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
23,Bangalore,51,13.12692,77.58163,7.849,2025-02,2025-02-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.7991,MEDIUM,Persistent accident history in prior 180 days (+0.455) | Historically elevated severity index during this specific time shift (+0.261) | High cumulative historical crash density (+0.256) | Cluster spatial footprint size (+0.234),lag_accidents_180d=0.455; lag_zw_expanding_swri=0.261; lag_expanding_accidents=0.256; max_r_km=0.234,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.839,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Bangalore urban traffic management road safety
24,Hyderabad,223,17.40203,78.29139,8.625,2025-04,2025-04-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.799,LOW,Persistent accident history in prior 180 days (+0.434) | High cumulative historical crash density (+0.416) | Cluster spatial footprint size (+0.253) | Historically elevated severity index during this specific time shift (+0.099),lag_accidents_180d=0.434; lag_expanding_accidents=0.416; max_r_km=0.253; lag_zw_expanding_swri=0.099,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8311,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, MORTH-ATTR-003",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
25,Bangalore,51,13.12692,77.58163,7.849,2025-02,2025-02-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7967,HIGH,Persistent accident history in prior 180 days (+0.455) | High cumulative historical crash density (+0.435) | Cluster spatial footprint size (+0.234) | Historically elevated severity index during this specific time shift (+0.094),lag_accidents_180d=0.455; lag_expanding_accidents=0.435; max_r_km=0.234; lag_zw_expanding_swri=0.094,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8359,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. Bangalore urban traffic management road safety
26,Hyderabad,233,17.27767,78.27841,7.363,2025-02,2025-02-01,00:00 - 03:59 (Late Night),False,HIGH,0.7964,LOW,Persistent accident history in prior 180 days (+0.394) | High cumulative historical crash density (+0.275) | Cluster spatial footprint size (+0.184) | Historically elevated severity index during this specific time shift (+0.112),lag_accidents_180d=0.394; lag_expanding_accidents=0.275; max_r_km=0.184; lag_zw_expanding_swri=0.112,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8281,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
27,Pune,363,18.49661,73.88325,7.781,2025-01,2025-01-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7936,HIGH,Persistent accident history in prior 180 days (+0.469) | Historically elevated severity index during this specific time shift (+0.422) | High cumulative historical crash density (+0.308) | Cluster spatial footprint size (+0.252),lag_accidents_180d=0.469; lag_zw_expanding_swri=0.422; lag_expanding_accidents=0.308; max_r_km=0.252,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8517,"WHO-IND-001-02, WHO-IND-RS-WEB-001, MORTH-ATTR-003",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. Maharashtra urban arterial road safety
28,Pune,363,18.49661,73.88325,7.781,2025-01,2025-01-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.7903,HIGH,Persistent accident history in prior 180 days (+0.469) | Historically elevated severity index during this specific time shift (+0.420) | High cumulative historical crash density (+0.308) | Cluster spatial footprint size (+0.250),lag_accidents_180d=0.469; lag_zw_expanding_swri=0.420; lag_expanding_accidents=0.308; max_r_km=0.250,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8456,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
29,Chandigarh,97,30.61774,76.77995,4.127,2025-04,2025-04-01,20:00 - 23:59 (Night),False,HIGH,0.7888,LOW,Persistent accident history in prior 180 days (+0.494) | Historically elevated severity index during this specific time shift (+0.341) | High cumulative historical crash density (+0.329) | Cluster spatial footprint size (+0.182),lag_accidents_180d=0.494; lag_zw_expanding_swri=0.341; lag_expanding_accidents=0.329; max_r_km=0.182,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8394,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Chandigarh planned city road safety
30,Hyderabad,223,17.40203,78.29139,8.625,2025-01,2025-01-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7884,HIGH,Persistent accident history in prior 180 days (+0.390) | High cumulative historical crash density (+0.326) | Cluster spatial footprint size (+0.255) | Historically elevated severity index during this specific time shift (+0.150),lag_accidents_180d=0.390; lag_expanding_accidents=0.326; max_r_km=0.255; lag_zw_expanding_swri=0.150,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8316,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. Hyderabad urban corridor road safety
31,Chennai,138,13.14963,80.13139,4.294,2025-02,2025-02-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7847,HIGH,Persistent accident history in prior 180 days (+0.393) | Historically elevated severity index during this specific time shift (+0.258) | Cluster spatial footprint size (+0.183) | High cumulative historical crash density (+0.166),lag_accidents_180d=0.393; lag_zw_expanding_swri=0.258; max_r_km=0.183; lag_expanding_accidents=0.166,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8268,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. night time road safety darkness driving India. Chennai urban road safety
