rank,target_month,city,zone_id,time_window_label,predicted_high_probability,predicted_risk_tier,actual_risk_tier,contributing_factor_1,contributing_factor_2,contributing_factor_3,contributing_factor_4,rank_id
13,2025-03,Hyderabad,223,16:00 - 19:59 (Evening Rush),0.821,HIGH,MEDIUM,"High cumulative historical crash density (value: 224.00, impact: +0.478)","Persistent accident history in prior 180 days (value: 30.00, impact: +0.445)","Cluster spatial footprint size (value: 8.63, impact: +0.231)","Historically elevated severity index during this specific time shift (value: 195.00, impact: +0.139)",13
14,2025-02,Chandigarh,97,04:00 - 07:59 (Early Morning),0.8193,HIGH,LOW,"Historically elevated severity index during this specific time shift (value: 277.00, impact: +0.562)","Persistent accident history in prior 180 days (value: 38.00, impact: +0.444)","High cumulative historical crash density (value: 219.00, impact: +0.318)","Cluster spatial footprint size (value: 4.13, impact: +0.190)",14
15,2025-04,Chennai,138,04:00 - 07:59 (Early Morning),0.8186,HIGH,LOW,"Historically elevated severity index during this specific time shift (value: 244.00, impact: +0.590)","Persistent accident history in prior 180 days (value: 36.00, impact: +0.404)","Cluster spatial footprint size (value: 4.29, impact: +0.180)","Elevated accident volume in prior 90 days (value: 18.00, impact: +0.077)",15
16,2025-04,Hyderabad,248,20:00 - 23:59 (Night),0.8131,HIGH,LOW,"Persistent accident history in prior 180 days (value: 35.00, impact: +0.383)","Cluster spatial footprint size (value: 6.68, impact: +0.186)","Accelerating short-term crash trend (value: -7.50, impact: +0.158)","High cumulative historical crash density (value: 179.00, impact: +0.133)",16
17,2025-02,Bangalore,51,04:00 - 07:59 (Early Morning),0.8125,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.448)","Historically elevated severity index during this specific time shift (value: 257.00, impact: +0.403)","High cumulative historical crash density (value: 250.00, impact: +0.301)","Cluster spatial footprint size (value: 7.85, impact: +0.229)",17
18,2025-02,Bangalore,51,00:00 - 03:59 (Late Night),0.8124,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.448)","High cumulative historical crash density (value: 250.00, impact: +0.413)","Cluster spatial footprint size (value: 7.85, impact: +0.229)","Historically elevated severity index during this specific time shift (value: 213.00, impact: +0.096)",18
19,2025-03,Pune,363,12:00 - 15:59 (Afternoon),0.8112,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.450)","Historically elevated severity index during this specific time shift (value: 268.00, impact: +0.422)","High cumulative historical crash density (value: 270.00, impact: +0.306)","Cluster spatial footprint size (value: 7.78, impact: +0.221)",19
20,2025-04,Hyderabad,223,04:00 - 07:59 (Early Morning),0.8075,HIGH,LOW,"Persistent accident history in prior 180 days (value: 31.00, impact: +0.442)","High cumulative historical crash density (value: 230.00, impact: +0.415)","Cluster spatial footprint size (value: 8.63, impact: +0.249)","Historically elevated severity index during this specific time shift (value: 207.00, impact: +0.100)",20
21,2025-01,Chennai,138,04:00 - 07:59 (Early Morning),0.8051,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 25.00, impact: +0.445)","Historically elevated severity index during this specific time shift (value: 197.00, impact: +0.259)","Cluster spatial footprint size (value: 4.29, impact: +0.197)","High cumulative historical crash density (value: 159.00, impact: +0.166)",21
22,2025-03,Pune,363,16:00 - 19:59 (Evening Rush),0.8036,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.450)","Historically elevated severity index during this specific time shift (value: 309.00, impact: +0.421)","High cumulative historical crash density (value: 270.00, impact: +0.305)","Cluster spatial footprint size (value: 7.78, impact: +0.220)",22
23,2025-02,Bangalore,51,16:00 - 19:59 (Evening Rush),0.7991,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.455)","Historically elevated severity index during this specific time shift (value: 220.00, impact: +0.261)","High cumulative historical crash density (value: 250.00, impact: +0.256)","Cluster spatial footprint size (value: 7.85, impact: +0.234)",23
24,2025-04,Hyderabad,223,08:00 - 11:59 (Morning Rush),0.799,HIGH,LOW,"Persistent accident history in prior 180 days (value: 31.00, impact: +0.434)","High cumulative historical crash density (value: 230.00, impact: +0.416)","Cluster spatial footprint size (value: 8.63, impact: +0.253)","Historically elevated severity index during this specific time shift (value: 204.00, impact: +0.099)",24
25,2025-02,Bangalore,51,12:00 - 15:59 (Afternoon),0.7967,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.455)","High cumulative historical crash density (value: 250.00, impact: +0.435)","Cluster spatial footprint size (value: 7.85, impact: +0.234)","Historically elevated severity index during this specific time shift (value: 209.00, impact: +0.094)",25
26,2025-02,Hyderabad,233,00:00 - 03:59 (Late Night),0.7964,HIGH,LOW,"Persistent accident history in prior 180 days (value: 36.00, impact: +0.394)","High cumulative historical crash density (value: 203.00, impact: +0.275)","Cluster spatial footprint size (value: 7.36, impact: +0.184)","Historically elevated severity index during this specific time shift (value: 213.00, impact: +0.112)",26
27,2025-01,Pune,363,12:00 - 15:59 (Afternoon),0.7936,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.469)","Historically elevated severity index during this specific time shift (value: 255.00, impact: +0.422)","High cumulative historical crash density (value: 256.00, impact: +0.308)","Cluster spatial footprint size (value: 7.78, impact: +0.252)",27
28,2025-01,Pune,363,16:00 - 19:59 (Evening Rush),0.7903,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.469)","Historically elevated severity index during this specific time shift (value: 289.00, impact: +0.420)","High cumulative historical crash density (value: 256.00, impact: +0.308)","Cluster spatial footprint size (value: 7.78, impact: +0.250)",28
29,2025-04,Chandigarh,97,20:00 - 23:59 (Night),0.7888,HIGH,LOW,"Persistent accident history in prior 180 days (value: 41.00, impact: +0.494)","Historically elevated severity index during this specific time shift (value: 251.00, impact: +0.341)","High cumulative historical crash density (value: 233.00, impact: +0.329)","Cluster spatial footprint size (value: 4.13, impact: +0.182)",29
30,2025-01,Hyderabad,223,12:00 - 15:59 (Afternoon),0.7884,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 29.00, impact: +0.390)","High cumulative historical crash density (value: 211.00, impact: +0.326)","Cluster spatial footprint size (value: 8.63, impact: +0.255)","Historically elevated severity index during this specific time shift (value: 200.00, impact: +0.150)",30
31,2025-02,Chennai,138,04:00 - 07:59 (Early Morning),0.7847,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.393)","Historically elevated severity index during this specific time shift (value: 208.00, impact: +0.258)","Cluster spatial footprint size (value: 4.29, impact: +0.183)","High cumulative historical crash density (value: 165.00, impact: +0.166)",31
32,2025-01,Pune,363,00:00 - 03:59 (Late Night),0.7839,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.459)","High cumulative historical crash density (value: 256.00, impact: +0.300)","Historically elevated severity index during this specific time shift (value: 235.00, impact: +0.220)","Cluster spatial footprint size (value: 7.78, impact: +0.215)",32
33,2025-01,Hyderabad,223,04:00 - 07:59 (Early Morning),0.7832,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 29.00, impact: +0.386)","High cumulative historical crash density (value: 211.00, impact: +0.307)","Cluster spatial footprint size (value: 8.63, impact: +0.253)","Historically elevated severity index during this specific time shift (value: 188.00, impact: +0.147)",33
34,2025-02,Hyderabad,248,04:00 - 07:59 (Early Morning),0.778,HIGH,LOW,"Persistent accident history in prior 180 days (value: 36.00, impact: +0.396)","High cumulative historical crash density (value: 172.00, impact: +0.208)","Cluster spatial footprint size (value: 6.68, impact: +0.204)","Historically elevated severity index during this specific time shift (value: 199.00, impact: +0.161)",34
35,2025-01,Hyderabad,223,08:00 - 11:59 (Morning Rush),0.7762,HIGH,HIGH,"Cluster spatial footprint size (value: 8.63, impact: +0.390)","Persistent accident history in prior 180 days (value: 29.00, impact: +0.368)","High cumulative historical crash density (value: 211.00, impact: +0.289)","Elevated historical fatal accident ratio (value: 0.14, impact: +0.031)",35
36,2025-01,Chennai,138,00:00 - 03:59 (Late Night),0.7752,HIGH,LOW,"Persistent accident history in prior 180 days (value: 25.00, impact: +0.445)","Historically elevated severity index during this specific time shift (value: 182.00, impact: +0.286)","Cluster spatial footprint size (value: 4.29, impact: +0.198)","High cumulative historical crash density (value: 159.00, impact: +0.170)",36
37,2025-04,Chandigarh,97,08:00 - 11:59 (Morning Rush),0.7736,HIGH,LOW,"Historically elevated severity index during this specific time shift (value: 247.00, impact: +0.504)","Persistent accident history in prior 180 days (value: 41.00, impact: +0.442)","High cumulative historical crash density (value: 233.00, impact: +0.317)","Cluster spatial footprint size (value: 4.13, impact: +0.187)",37
38,2025-02,Chandigarh,97,08:00 - 11:59 (Morning Rush),0.7729,HIGH,LOW,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.424)","Historically elevated severity index during this specific time shift (value: 240.00, impact: +0.356)","High cumulative historical crash density (value: 219.00, impact: +0.310)","Cluster spatial footprint size (value: 4.13, impact: +0.175)",38
39,2025-03,Hyderabad,223,08:00 - 11:59 (Morning Rush),0.7727,HIGH,HIGH,"High cumulative historical crash density (value: 224.00, impact: +0.464)","Persistent accident history in prior 180 days (value: 30.00, impact: +0.430)","Cluster spatial footprint size (value: 8.63, impact: +0.233)","Historically elevated severity index during this specific time shift (value: 186.00, impact: +0.154)",39
40,2025-01,Pune,363,20:00 - 23:59 (Night),0.7715,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.475)","High cumulative historical crash density (value: 256.00, impact: +0.293)","Cluster spatial footprint size (value: 7.78, impact: +0.243)","Historically elevated severity index during this specific time shift (value: 245.00, impact: +0.216)",40
41,2025-03,Chandigarh,97,08:00 - 11:59 (Morning Rush),0.7714,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 38.00, impact: +0.430)","Historically elevated severity index during this specific time shift (value: 240.00, impact: +0.375)","High cumulative historical crash density (value: 221.00, impact: +0.274)","Cluster spatial footprint size (value: 4.13, impact: +0.182)",41
42,2025-04,Hyderabad,248,04:00 - 07:59 (Early Morning),0.7704,HIGH,LOW,"Persistent accident history in prior 180 days (value: 35.00, impact: +0.345)","Cluster spatial footprint size (value: 6.68, impact: +0.189)","High cumulative historical crash density (value: 179.00, impact: +0.171)","Accelerating short-term crash trend (value: -7.50, impact: +0.148)",42
43,2025-02,Pune,363,00:00 - 03:59 (Late Night),0.7699,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 41.00, impact: +0.452)","Historically elevated severity index during this specific time shift (value: 251.00, impact: +0.364)","Cluster spatial footprint size (value: 7.78, impact: +0.292)","High cumulative historical crash density (value: 265.00, impact: +0.276)",43
44,2025-04,Pune,363,00:00 - 03:59 (Late Night),0.7696,HIGH,LOW,"Persistent accident history in prior 180 days (value: 42.00, impact: +0.459)","Historically elevated severity index during this specific time shift (value: 258.00, impact: +0.357)","High cumulative historical crash density (value: 279.00, impact: +0.288)","Cluster spatial footprint size (value: 7.78, impact: +0.200)",44
45,2025-04,Chandigarh,97,16:00 - 19:59 (Evening Rush),0.7689,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 41.00, impact: +0.457)","Historically elevated severity index during this specific time shift (value: 227.00, impact: +0.364)","High cumulative historical crash density (value: 233.00, impact: +0.262)","Cluster spatial footprint size (value: 4.13, impact: +0.189)",45
46,2025-04,Kolkata,273,08:00 - 11:59 (Morning Rush),0.7664,HIGH,LOW,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.368)","Historically elevated severity index during this specific time shift (value: 210.00, impact: +0.267)","Cluster spatial footprint size (value: 4.74, impact: +0.186)","High cumulative historical crash density (value: 162.00, impact: +0.185)",46
47,2025-02,Hyderabad,248,12:00 - 15:59 (Afternoon),0.7624,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 36.00, impact: +0.388)","High cumulative historical crash density (value: 172.00, impact: +0.202)","Cluster spatial footprint size (value: 6.68, impact: +0.200)","Historically elevated severity index during this specific time shift (value: 196.00, impact: +0.158)",47
48,2025-02,Hyderabad,223,00:00 - 03:59 (Late Night),0.7607,HIGH,MEDIUM,"High cumulative historical crash density (value: 219.00, impact: +0.448)","Persistent accident history in prior 180 days (value: 30.00, impact: +0.440)","Cluster spatial footprint size (value: 8.63, impact: +0.358)","Elevated accident volume in prior 90 days (value: 18.00, impact: +0.070)",48
49,2025-04,Chandigarh,97,12:00 - 15:59 (Afternoon),0.7594,HIGH,MEDIUM,"High cumulative historical crash density (value: 233.00, impact: +0.509)","Persistent accident history in prior 180 days (value: 41.00, impact: +0.457)","Historically elevated severity index during this specific time shift (value: 174.00, impact: +0.240)","Cluster spatial footprint size (value: 4.13, impact: +0.193)",49
50,2025-02,Kolkata,273,08:00 - 11:59 (Morning Rush),0.756,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 27.00, impact: +0.361)","Historically elevated severity index during this specific time shift (value: 205.00, impact: +0.271)","High cumulative historical crash density (value: 153.00, impact: +0.224)","Cluster spatial footprint size (value: 4.74, impact: +0.214)",50
51,2025-04,Hyderabad,248,12:00 - 15:59 (Afternoon),0.7543,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 35.00, impact: +0.343)","Cluster spatial footprint size (value: 6.68, impact: +0.187)","Accelerating short-term crash trend (value: -7.50, impact: +0.170)","High cumulative historical crash density (value: 179.00, impact: +0.147)",51
52,2025-04,Chandigarh,97,00:00 - 03:59 (Late Night),0.7538,HIGH,LOW,"Persistent accident history in prior 180 days (value: 41.00, impact: +0.434)","High cumulative historical crash density (value: 233.00, impact: +0.434)","Cluster spatial footprint size (value: 4.13, impact: +0.190)","High recent accident surge in prior 30 days (value: 12.00, impact: +0.154)",52
53,2025-04,Chennai,138,00:00 - 03:59 (Late Night),0.7527,HIGH,LOW,"Persistent accident history in prior 180 days (value: 36.00, impact: +0.406)","Historically elevated severity index during this specific time shift (value: 200.00, impact: +0.235)","Cluster spatial footprint size (value: 4.29, impact: +0.181)","Elevated accident volume in prior 90 days (value: 18.00, impact: +0.072)",53
54,2025-03,Hyderabad,248,04:00 - 07:59 (Early Morning),0.7521,HIGH,LOW,"Persistent accident history in prior 180 days (value: 35.00, impact: +0.343)","High cumulative historical crash density (value: 174.00, impact: +0.239)","Cluster spatial footprint size (value: 6.68, impact: +0.224)","Historically elevated severity index during this specific time shift (value: 199.00, impact: +0.152)",54
55,2025-04,Chandigarh,97,04:00 - 07:59 (Early Morning),0.752,HIGH,LOW,"Historically elevated severity index during this specific time shift (value: 280.00, impact: +0.520)","Persistent accident history in prior 180 days (value: 41.00, impact: +0.462)","High cumulative historical crash density (value: 233.00, impact: +0.300)","Cluster spatial footprint size (value: 4.13, impact: +0.202)",55
56,2025-04,Hyderabad,223,20:00 - 23:59 (Night),0.7514,HIGH,LOW,"Persistent accident history in prior 180 days (value: 31.00, impact: +0.455)","Historically elevated severity index during this specific time shift (value: 249.00, impact: +0.416)","High cumulative historical crash density (value: 230.00, impact: +0.293)","Cluster spatial footprint size (value: 8.63, impact: +0.243)",56
57,2025-04,Pune,379,04:00 - 07:59 (Early Morning),0.7493,HIGH,LOW,"Persistent accident history in prior 180 days (value: 18.00, impact: +0.410)","High cumulative historical crash density (value: 158.00, impact: +0.253)","Historically elevated severity index during this specific time shift (value: 189.00, impact: +0.202)","Cluster spatial footprint size (value: 4.91, impact: +0.166)",57
58,2025-04,Hyderabad,223,00:00 - 03:59 (Late Night),0.7462,HIGH,LOW,"High cumulative historical crash density (value: 230.00, impact: +0.476)","Persistent accident history in prior 180 days (value: 31.00, impact: +0.434)","Cluster spatial footprint size (value: 8.63, impact: +0.344)","Elevated accident volume in prior 90 days (value: 19.00, impact: +0.053)",58
59,2025-03,Hyderabad,223,00:00 - 03:59 (Late Night),0.7447,HIGH,LOW,"High cumulative historical crash density (value: 224.00, impact: +0.469)","Persistent accident history in prior 180 days (value: 30.00, impact: +0.430)","Cluster spatial footprint size (value: 8.63, impact: +0.321)","Elevated accident volume in prior 90 days (value: 17.00, impact: +0.070)",59
60,2025-01,Kolkata,273,08:00 - 11:59 (Morning Rush),0.7432,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 28.00, impact: +0.362)","Historically elevated severity index during this specific time shift (value: 199.00, impact: +0.252)","Cluster spatial footprint size (value: 4.74, impact: +0.183)","High cumulative historical crash density (value: 147.00, impact: +0.181)",60
61,2025-03,Hyderabad,233,00:00 - 03:59 (Late Night),0.7416,HIGH,LOW,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.412)","Cluster spatial footprint size (value: 7.36, impact: +0.176)","Historically elevated severity index during this specific time shift (value: 213.00, impact: +0.117)","High cumulative historical crash density (value: 205.00, impact: +0.085)",61
62,2025-02,Bangalore,51,08:00 - 11:59 (Morning Rush),0.7414,HIGH,LOW,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.442)","Historically elevated severity index during this specific time shift (value: 262.00, impact: +0.418)","High cumulative historical crash density (value: 250.00, impact: +0.298)","Cluster spatial footprint size (value: 7.85, impact: +0.232)",62
63,2025-03,Hyderabad,248,20:00 - 23:59 (Night),0.741,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 35.00, impact: +0.381)","High cumulative historical crash density (value: 174.00, impact: +0.220)","Cluster spatial footprint size (value: 6.68, impact: +0.213)","Historically elevated severity index during this specific time shift (value: 195.00, impact: +0.166)",63
64,2025-02,Hyderabad,233,04:00 - 07:59 (Early Morning),0.741,HIGH,LOW,"Persistent accident history in prior 180 days (value: 36.00, impact: +0.394)","High cumulative historical crash density (value: 203.00, impact: +0.356)","Cluster spatial footprint size (value: 7.36, impact: +0.184)","Historically elevated severity index during this specific time shift (value: 175.00, impact: +0.133)",64
65,2025-02,Chennai,138,00:00 - 03:59 (Late Night),0.7389,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.394)","Historically elevated severity index during this specific time shift (value: 182.00, impact: +0.267)","Cluster spatial footprint size (value: 4.29, impact: +0.183)","High cumulative historical crash density (value: 165.00, impact: +0.171)",65
66,2025-02,Kolkata,283,16:00 - 19:59 (Evening Rush),0.7354,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 21.00, impact: +0.435)","Cluster spatial footprint size (value: 4.91, impact: +0.233)","High cumulative historical crash density (value: 138.00, impact: +0.229)","Elevated historical fatal accident ratio (value: 0.14, impact: +0.063)",66
67,2025-03,Hyderabad,248,12:00 - 15:59 (Afternoon),0.7312,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 35.00, impact: +0.343)","High cumulative historical crash density (value: 174.00, impact: +0.235)","Cluster spatial footprint size (value: 6.68, impact: +0.223)","Historically elevated severity index during this specific time shift (value: 199.00, impact: +0.149)",67
68,2025-04,Hyderabad,223,12:00 - 15:59 (Afternoon),0.7306,HIGH,LOW,"Persistent accident history in prior 180 days (value: 31.00, impact: +0.449)","High cumulative historical crash density (value: 230.00, impact: +0.274)","Cluster spatial footprint size (value: 8.63, impact: +0.252)","Historically elevated severity index during this specific time shift (value: 236.00, impact: +0.215)",68
69,2025-03,Hyderabad,223,12:00 - 15:59 (Afternoon),0.7285,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.445)","High cumulative historical crash density (value: 224.00, impact: +0.283)","Cluster spatial footprint size (value: 8.63, impact: +0.232)","Historically elevated severity index during this specific time shift (value: 229.00, impact: +0.205)",69
70,2025-02,Bangalore,51,20:00 - 23:59 (Night),0.728,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.461)","High cumulative historical crash density (value: 250.00, impact: +0.278)","Cluster spatial footprint size (value: 7.85, impact: +0.226)","Historically elevated severity index during this specific time shift (value: 245.00, impact: +0.210)",70
71,2025-03,Hyderabad,233,12:00 - 15:59 (Afternoon),0.7265,HIGH,LOW,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.409)","Historically elevated severity index during this specific time shift (value: 223.00, impact: +0.301)","Cluster spatial footprint size (value: 7.36, impact: +0.171)","Elevated accident volume in prior 90 days (value: 16.00, impact: +0.060)",71
72,2025-02,Pune,363,20:00 - 23:59 (Night),0.726,HIGH,LOW,"Persistent accident history in prior 180 days (value: 41.00, impact: +0.456)","Historically elevated severity index during this specific time shift (value: 248.00, impact: +0.361)","Cluster spatial footprint size (value: 7.78, impact: +0.312)","High cumulative historical crash density (value: 265.00, impact: +0.274)",72
73,2025-04,Hyderabad,233,00:00 - 03:59 (Late Night),0.7249,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.356)","Cluster spatial footprint size (value: 7.36, impact: +0.204)","Historically elevated severity index during this specific time shift (value: 213.00, impact: +0.150)","High cumulative historical crash density (value: 208.00, impact: +0.117)",73
74,2025-02,Hyderabad,233,08:00 - 11:59 (Morning Rush),0.7236,HIGH,MEDIUM,"Persistent accident history in prior 180 days (value: 36.00, impact: +0.376)","High cumulative historical crash density (value: 203.00, impact: +0.337)","Historically elevated severity index during this specific time shift (value: 185.00, impact: +0.208)","Cluster spatial footprint size (value: 7.36, impact: +0.182)",74
75,2025-03,Mumbai,319,08:00 - 11:59 (Morning Rush),0.7217,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 50.00, impact: +0.427)","High cumulative historical crash density (value: 279.00, impact: +0.254)","Cluster spatial footprint size (value: 10.25, impact: +0.232)","Historically elevated severity index during this specific time shift (value: 234.00, impact: +0.211)",75
76,2025-02,Chandigarh,97,00:00 - 03:59 (Late Night),0.7209,HIGH,HIGH,"High cumulative historical crash density (value: 219.00, impact: +0.480)","Persistent accident history in prior 180 days (value: 38.00, impact: +0.416)","Cluster spatial footprint size (value: 4.13, impact: +0.177)","Elevated historical fatal accident ratio (value: 0.13, impact: +0.088)",76
77,2025-04,Hyderabad,233,04:00 - 07:59 (Early Morning),0.7148,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 30.00, impact: +0.345)","Cluster spatial footprint size (value: 7.36, impact: +0.204)","Historically elevated severity index during this specific time shift (value: 188.00, impact: +0.180)","High cumulative historical crash density (value: 208.00, impact: +0.130)",77
78,2025-04,Pune,363,08:00 - 11:59 (Morning Rush),0.7145,HIGH,LOW,"High cumulative historical crash density (value: 279.00, impact: +0.471)","Persistent accident history in prior 180 days (value: 42.00, impact: +0.444)","Cluster spatial footprint size (value: 7.78, impact: +0.340)","Geographic longitude coordinate (value: 73.88, impact: +0.072)",78
79,2025-03,Pune,363,08:00 - 11:59 (Morning Rush),0.7129,HIGH,MEDIUM,"High cumulative historical crash density (value: 270.00, impact: +0.494)","Persistent accident history in prior 180 days (value: 38.00, impact: +0.437)","Cluster spatial footprint size (value: 7.78, impact: +0.340)","Elevated historical fatal accident ratio (value: 0.16, impact: +0.060)",79
80,2025-01,Hyderabad,223,16:00 - 19:59 (Evening Rush),0.7112,HIGH,HIGH,"Persistent accident history in prior 180 days (value: 29.00, impact: +0.389)","High cumulative historical crash density (value: 211.00, impact: +0.312)","Cluster spatial footprint size (value: 8.63, impact: +0.254)","Historically elevated severity index during this specific time shift (value: 184.00, impact: +0.162)",80
81,2025-04,Kolkata,283,00:00 - 03:59 (Late Night),0.7109,HIGH,LOW,"Persistent accident history in prior 180 days (value: 28.00, impact: +0.373)","Cluster spatial footprint size (value: 4.91, impact: +0.201)","High cumulative historical crash density (value: 151.00, impact: +0.164)","Elevated historical fatal accident ratio (value: 0.14, impact: +0.068)",81
82,2025-04,Pune,363,04:00 - 07:59 (Early Morning),0.7044,HIGH,LOW,"Persistent accident history in prior 180 days (value: 42.00, impact: +0.458)","Historically elevated severity index during this specific time shift (value: 310.00, impact: +0.373)","High cumulative historical crash density (value: 279.00, impact: +0.276)","Cluster spatial footprint size (value: 7.78, impact: +0.200)",82
